"mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample","isotopes","adduct","pcgroup"
360.148162070433,360.145690917969,360.151611328125,37.1255802,34.2761004,41.1298002,125521.669048262,118002.454828454,57694.6015625,15,1,"","","200"
245.117073780039,245.115463256836,245.118209838867,17.6374674,13.695246,20.7101952,428227.188034536,428220.068384602,96126.140625,96125,1,"","","47"
245.116607862839,245.115509033203,245.117370605469,38.659818,32.7568602,39.7968132,404151.887442207,404144.847489207,129810.796875,129810,1,"","","62"
245.116810482485,245.115707397461,245.117599487305,23.6103012,23.6103012,23.7610488,13617.2571238288,13617.0310024288,68961.7421875,80330,1,"","","173"
245.116797307367,245.115692138672,245.117706298828,29.3997588,29.2488852,32.7568602,207784.08037729,207780.466100018,72067.203125,77003,1,"","[M+K]+ 206.154","172"
245.116773816635,245.115707397461,245.117645263672,24.9714162,24.0627972,25.1976648,78165.5327015679,78164.3221761279,78146.8203125,78146,1,"","[M+K]+ 206.154 [M+H-CH2]+ 258.126","166"
245.11670763386,245.115829467773,245.117385864258,7.5060372,2.70857094,13.695246,378395.540179968,378384.430059121,46635.78515625,42202,1,"","","213"
311.117815756009,311.114654541016,311.119659423828,39.495186,38.3528208,40.6773048,23205.9391246589,23178.7303847839,19797.294921875,62,1,"","[M+K]+ 272.15","185"
261.108808511443,261.108367919922,261.112121582031,38.0511972,34.922595,41.054427,1147894.71253341,897272.716214731,1240182,73,1,"","","62"
188.109927850754,188.108184814453,188.110778808594,40.6773048,39.2689392,42.8934138,57327.8180347213,56574.0909918258,60550.50390625,23,1,"","","46"
267.095974465793,267.094482421875,267.097503662109,41.1298002,39.645936,43.1196618,52475.8804383096,52199.9415082388,100325.9609375,103,1,"","[M+Na]+ 244.107","46"
259.133143508147,259.1318359375,259.134552001953,18.5420838,13.578369,23.351928,597743.694195607,597733.823868696,97316.390625,97315,1,"","","139"
259.133179869195,259.132080078125,259.134216308594,39.645936,36.4464588,39.7214358,195358.785899318,195355.422409426,78061.3125,79249,1,"","[M+H-CH2]+ 272.15","185"
259.133174686963,259.132019042969,259.134552001953,24.816918,23.351928,27.9891432,283672.759735217,283668.039712603,79183.3984375,79182,1,"","[M+H]+ 258.126","166"
173.98397223263,173.982574462891,173.985168457031,41.7370458,40.48443,44.6407752,38749.349346727,36815.6446604488,21872.994140625,12,1,"","","46"
187.108857910584,187.108215332031,187.110733032227,40.6773048,36.8239572,43.647909,539391.743452753,518727.767736257,595912.5,48,1,"","","46"
215.107964386112,215.106674194336,215.10888671875,17.9390892,13.695246,21.2380674,318921.481108396,318913.836356977,68098.6328125,68098,1,"","[3M+H+K]2+ 130.085","139"
215.107792639222,215.106491088867,215.109344482422,39.8721864,39.645936,43.951281,190848.552282278,190844.246937278,61347.828125,61347,1,"","","185"
215.107908344473,215.106811523438,215.10888671875,29.1735108,29.098137,32.2197402,142289.577098964,142286.354798886,59671.625,59671,1,"","","196"
215.107761445303,215.106491088867,215.109313964844,24.666042,24.0627972,24.816918,40262.4482396849,40261.618706805,58087.72265625,60703,1,"","","166"
215.107770342265,215.106414794922,215.109619140625,35.3810922,32.2197402,35.5319652,146917.627857861,146914.201418206,56205.65234375,56205,1,"","","204"
215.107631136854,215.106750488281,215.108413696289,7.6066632,2.90732094,13.695246,265913.529657478,265902.61773328,33134.0625,33133,1,"","[3M+H+K]2+ 130.071","213"
246.115497246897,246.112442016602,246.116516113281,40.979052,36.9747048,44.4899028,294432.904092578,185408.238494726,275492.40625,50,1,"","","46"
245.113874583861,245.113632202148,245.114456176758,40.979052,36.899331,44.4899028,1845762.29878798,1682869.02306036,2332129.25,80,1,"","[M+H]+ 244.107","46"
214.003683042681,214.002731323242,214.004409790039,42.496416,39.7968132,47.2308828,77585.1216164263,73798.0894291343,26047.98828125,12,1,"","","125"
233.079415041348,233.077621459961,233.081741333008,33.7632258,28.747014,37.859448,300456.415036908,105930.935482274,80516.7578125,10,1,"","","27"
162.967614140407,162.966857910156,162.96794128418,31.964118,30.3936288,35.4565908,668750.877864296,657081.708991804,487188.59375,132,1,"","[M+Na]+ 139.972","48"
161.969833694836,161.969497680664,161.970092773438,31.832616,28.747014,35.3810922,312198.808734658,236717.497062034,238799.265625,4,1,"","","48"
152.057037421902,152.056488037109,152.058670043945,50.0773632,47.3817558,54.2212092,83587.9341033133,83122.8581234369,175372.625,140,1,"","","75"
171.065060915812,171.064498901367,171.066314697266,47.3817558,47.306382,47.457381,6228.49699749604,6228.27049899604,31705.734375,43673,1,"","","230"
171.064773020509,171.063690185547,171.065902709961,33.7632258,30.3936288,36.2202108,205265.763289346,205259.826771836,57617.34765625,57616,1,"","[M+H-C2H4]+ 198.09","27"
171.065166817229,171.064590454102,171.06657409668,39.9475608,36.4464588,40.6019304,131416.428464203,131412.176353729,42848.81640625,43664,1,"","","185"
